,,January,March,March,March,May,May,May,August,,,,October,,November,,,,,,,,,,
,,Eldoret Open Chess Championship GrandPrix Ciruit,Kisumu Open Chess Championship 2026,"2nd Edition, Mavens Open International Chess Championship 2026",2026 Sataranji Africa Chess Festival,2026 Kiambu Open Chess Championship,2026 Kakamega Open Chess Championship,Quo Vadis Nyeri Chess Open 2026,,"
1st Nairobi Chess Club Grand Prix - Ladies",,,,,,,,,,,,,,,
FIDE ID,Name,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,,Rp,,,Best ,2nd Best,3rd Best ,4th Best ,Number of Events,Number of events,AVRG/4 EVENTS,Avrg/Events Played
10867503,"Shilalia, Grace M",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10847430,"Kungu, Nicole Wanjiru",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10828818,"Awuor, Concillia Ndegwa",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10828834,"Ngeny, Cynthia Chebet",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10868178,"Magato, Gloria",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10863435,Joy Muthoni Kairuthi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10868356,"Mali, Mugo",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10876111,"Rotich, Natasha",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10802606,Mohideen Fathima Mohamed,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827471,"Cherono, Mercy",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844570,"Lekolool, Michelle",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10809260,"Atiagaga, Laurecia Minage",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10837590,"Waruguru, Joy",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10831215,"Kimani, Susan",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10831509,Obonyo Abigail,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896724,"Chepchirchir, Cherry",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10830820,"Harun, Helen",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834842,"Wamaitha, Rania",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10877894,Salma Nkatha Mwenda,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10884076,"Wambui, Gakenia",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10895167,"Milan, Suter",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10831150,"Waswa, Abigael",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10890866,"Kihara, Wambui Esther",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10885439,"Angel, Mercy",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898484,Kathure Winfred,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
