,,January,March,March,March,May,May,May,August,,,,October,,November,,,,,,,,,,
,,Eldoret Open Chess Championship GrandPrix Ciruit,Kisumu Open Chess Championship 2026,"2nd Edition, Mavens Open International Chess Championship 2026",Sataranji Open Chess Championship 2026,2026 Kiambu Open Chess Championship,2026 Kakamega Open Chess Championship,Quo Vadis Nyeri Chess Open 2026,,"
1st Nairobi Chess Club Grand Prix - Open",,,,,,,,,,,,,,,
FIDE ID,Name,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,,Rp,,,Best ,2nd Best,3rd Best ,4th Best ,Number of Events,Number of events,AVRG/4 EVENTS,Avrg/Events Played
,Philip Mwashe,,,,1692,,,,1645,,,,,,,,,1692,1645,,,2,Played 2 Events,1669,"1,669"
10848533,Danson Ryan Kimani,,,1604,,1730,,,,,,,,,,,,1730,1604,,,2,Played 2 Events,1667,"1,667"
,"Kiruthu, Ted Wahome",1695,,,1627,,,,,,,,,,,,,1695,1627,,,2,Played 2 Events,1661,"1,661"
10896376,"Daniel, Misiko",1559,,,,,1690,,,,,,,,,,,1690,1559,,,2,Played 2 Events,1625,"1,625"
10893822,"Ovita, Brian",,1486,1532,,,,,,,,,,,,,,1532,1486,,,2,Played 2 Events,1509,"1,509"
10852832,Adriel Baraka,1385,,,1585,,,,,,,,,,,,,1585,1385,,,2,Played 2 Events,1485,"1,485"
,"Jaeger, Nyamongo Omari",,,1268,,,,,1597,,,,,,,,,1597,1268,,,2,Played 2 Events,1433,"1,433"
10876073,Omollo Tendai Gichuhi,1517,,1250,,,,,,,,,,,,,,1517,1250,,,2,Played 2 Events,1384,"1,384"
,John Okello,,,1127,,1441,,,,,,,,,,,,1441,1127,,,2,Played 2 Events,1284,"1,284"
10824014,"Simiyu, Jadon",,,2257,,,,,,,,,,,,,,2257,,,,1,Played 1 Event,2257,"2,257"
10810803,"Muchiri, Rocky",,1981,,,,,,,,,,,,,,,1981,,,,1,Played 1 Event,1981,"1,981"
10802185,Sang Ricky,,,1952,,,,,,,,,,,,,,1952,,,,1,Played 1 Event,1952,"1,952"
10807764,Gichuhi Brian Chege,,,1946,,,,,,,,,,,,,,1946,,,,1,Played 1 Event,1946,"1,946"
,Daniel Gisore,,,,,1942,,,,,,,,,,,,1942,,,,1,Played 1 Event,1942,"1,942"
10827587,"Cheruiyot, Elly",1937,,,,,,,,,,,,,,,,1937,,,,1,Played 1 Event,1937,"1,937"
,Walter Oloo Juma,,,,1874,,,,,,,,,,,,,1874,,,,1,Played 1 Event,1874,"1,874"
10869638,"Wafula, Andrew Mangeni",,,,,,1870,,,,,,,,,,,1870,,,,1,Played 1 Event,1870,"1,870"
,"Langat, Silvanus",1859,,,,,,,,,,,,,,,,1859,,,,1,Played 1 Event,1859,"1,859"
10828583,"Shikuku, Clinton",,,1842,,,,,,,,,,,,,,1842,,,,1,Played 1 Event,1842,"1,842"
,Owen kelvin Otieno,,,1840,,,,,,,,,,,,,,1840,,,,1,Played 1 Event,1840,"1,840"
10812520,Mitei Cosmas,,,1839,,,,,,,,,,,,,,1839,,,,1,Played 1 Event,1839,"1,839"
10806164,"Mulindi, Trevor",,,,,1838,,,,,,,,,,,,1838,,,,1,Played 1 Event,1838,"1,838"
10882359,Wayne Joe Njarumi,,,1829,,,,,,,,,,,,,,1829,,,,1,Played 1 Event,1829,"1,829"
10897038,"Kipkalia, Jeremy",1817,,,,,,,,,,,,,,,,1817,,,,1,Played 1 Event,1817,"1,817"
10832696,Nhial Jeremiah Machar,,,1810,,,,,,,,,,,,,,1810,,,,1,Played 1 Event,1810,"1,810"
10896465,"Steve, Patience",,1795,,,,,,,,,,,,,,,1795,,,,1,Played 1 Event,1795,"1,795"
,Nyonje Dominic,,,1792,,,,,,,,,,,,,,1792,,,,1,Played 1 Event,1792,"1,792"
10826890,"Kamau, Kelvin Ngigi",,,,,1780,,,,,,,,,,,,1780,,,,1,Played 1 Event,1780,"1,780"
,"Korir, Collins",1777,,,,,,,,,,,,,,,,1777,,,,1,Played 1 Event,1777,"1,777"
10840966,"Baraka, Victor Gagne",1773,,,,,,,,,,,,,,,,1773,,,,1,Played 1 Event,1773,"1,773"
,Titus Ochieng,,1766,,,,,,,,,,,,,,,1766,,,,1,Played 1 Event,1766,"1,766"
10812750,"Noormohamed, Shabbbir Harunany",1760,,,,,,,,,,,,,,,,1760,,,,1,Played 1 Event,1760,"1,760"
,"Ngetich, Moses",1759,,,,,,,,,,,,,,,,1759,,,,1,Played 1 Event,1759,"1,759"
,"Osoro, Samuel Onsongo",,,,,1756,,,,,,,,,,,,1756,,,,1,Played 1 Event,1756,"1,756"
10815503,"Gicheru, John Wagema",,,,1751,,,,,,,,,,,,,1751,,,,1,Played 1 Event,1751,"1,751"
10841105,"Mutongoi, Ian",,,,1748,,,,,,,,,,,,,1748,,,,1,Played 1 Event,1748,"1,748"
10802746,Lwanga Odongo,,,,1746,,,,,,,,,,,,,1746,,,,1,Played 1 Event,1746,"1,746"
10848878,Muchoki Trevor Kanyuithia,,,,,1744,,,,,,,,,,,,1744,,,,1,Played 1 Event,1744,"1,744"
,Washington Omondi,,,,1739,,,,,,,,,,,,,1739,,,,1,Played 1 Event,1739,"1,739"
,"Otanga, Ernest Emisiko",1736,,,,,,,,,,,,,,,,1736,,,,1,Played 1 Event,1736,"1,736"
,"Joseph, Ndungu",1735,,,,,,,,,,,,,,,,1735,,,,1,Played 1 Event,1735,"1,735"
10820078,"Mwendwa, Eric Muteti",,1732,,,,,,,,,,,,,,,1732,,,,1,Played 1 Event,1732,"1,732"
,Abiola James,,1729,,,,,,,,,,,,,,,1729,,,,1,Played 1 Event,1729,"1,729"
,"Nyaruaba, Raphael",,,,,1726,,,,,,,,,,,,1726,,,,1,Played 1 Event,1726,"1,726"
10800123,Omolo Kenneth,,,1723,,,,,,,,,,,,,,1723,,,,1,Played 1 Event,1723,"1,723"
10815309,Wanjala Samuel,1722,,,,,,,,,,,,,,,,1722,,,,1,Played 1 Event,1722,"1,722"
10801529,Lwanga Aguda,,,,1721,,,,,,,,,,,,,1721,,,,1,Played 1 Event,1721,"1,721"
10843361,"Njoki, John Mutuku",,,,,,,1717,,,,,,,,,,1717,,,,1,Played 1 Event,1717,"1,717"
10834656,"Jesse, Fabian",,,,,,,,1711,,,,,,,,,1711,,,,1,Played 1 Event,1711,"1,711"
10890840,"Moegi, Jeremiah Monange",1710,,,,,,,,,,,,,,,,1710,,,,1,Played 1 Event,1710,"1,710"
10834672,"Ochieng, Kennedy",,1708,,,,,,,,,,,,,,,1708,,,,1,Played 1 Event,1708,"1,708"
10849220,Ochieng James,,,1705,,,,,,,,,,,,,,1705,,,,1,Played 1 Event,1705,"1,705"
,"Kemboi, Ely Kipkogei",1698,,,,,,,,,,,,,,,,1698,,,,1,Played 1 Event,1698,"1,698"
10897062,"Kiprono, Victor",1685,,,,,,,,,,,,,,,,1685,,,,1,Played 1 Event,1685,"1,685"
10839500,Thiongo Collins,,,,1678,,,,,,,,,,,,,1678,,,,1,Played 1 Event,1678,"1,678"
10803408,Ombui Paul,,,1677,,,,,,,,,,,,,,1677,,,,1,Played 1 Event,1677,"1,677"
10832513,"Simiyu, Jerry",1671,,,,,,,,,,,,,,,,1671,,,,1,Played 1 Event,1671,"1,671"
10831312,Ngugi Clinton,,,1665,,,,,,,,,,,,,,1665,,,,1,Played 1 Event,1665,"1,665"
10802797,Ngonga Paul Oketch,,,,1663,,,,,,,,,,,,,1663,,,,1,Played 1 Event,1663,"1,663"
10897763,Irungu Morris Maina,,,1660,,,,,,,,,,,,,,1660,,,,1,Played 1 Event,1660,"1,660"
10841466,Kahara Ethan Kariuki,,,1659,,,,,,,,,,,,,,1659,,,,1,Played 1 Event,1659,"1,659"
10808353,"Nyaga, James Kabui",,,,,,,1645,,,,,,,,,,1645,,,,1,Played 1 Event,1645,"1,645"
10842870,Waweru Trevor Kipngetich,,,,,,,1642,,,,,,,,,,1642,,,,1,Played 1 Event,1642,"1,642"
10833056,"Mwanza, Leonard",,,,1639,,,,,,,,,,,,,1639,,,,1,Played 1 Event,1639,"1,639"
10802797,"Ngonga, Paul Oketch",,,,,1633,,,,,,,,,,,,1633,,,,1,Played 1 Event,1633,"1,633"
10829504,Ombiro Clifford,,1632,,,,,,,,,,,,,,,1632,,,,1,Played 1 Event,1632,"1,632"
10818251,Mbaabu Cyprian,,,,,,,,1629,,,,,,,,,1629,,,,1,Played 1 Event,1629,"1,629"
10856366,Jayson Kimani Ndarwa,,,1621,,,,,,,,,,,,,,1621,,,,1,Played 1 Event,1621,"1,621"
,Odongo Bill Clinton,,1619,,,,,,,,,,,,,,,1619,,,,1,Played 1 Event,1619,"1,619"
10896503,"Migitha, James",,,,1615,,,,,,,,,,,,,1615,,,,1,Played 1 Event,1615,"1,615"
10803416,"Gathoni, Paul Waweru",,,1608,,,,,,,,,,,,,,1608,,,,1,Played 1 Event,1608,"1,608"
,HItash Shar Jeegar,,,1602,,,,,,,,,,,,,,1602,,,,1,Played 1 Event,1602,"1,602"
10819940,Sadam Ali Sheikh,,,1591,,,,,,,,,,,,,,1591,,,,1,Played 1 Event,1591,"1,591"
10846573,"Rotich, Damien Kibet",1581,,,,,,,,,,,,,,,,1581,,,,1,Played 1 Event,1581,"1,581"
10834818,"Wasonga, Floyd",,1579,,,,,,,,,,,,,,,1579,,,,1,Played 1 Event,1579,"1,579"
10852700,Isaac Bahati,1564,,,,,,,,,,,,,,,,1564,,,,1,Played 1 Event,1564,"1,564"
,Armon Sein,,,1559,,,,,,,,,,,,,,1559,,,,1,Played 1 Event,1559,"1,559"
10857630,Jesse Jayden,,,,,,,,1558,,,,,,,,,1558,,,,1,Played 1 Event,1558,"1,558"
,Andrew Owili,,1556,,,,,,,,,,,,,,,1556,,,,1,Played 1 Event,1556,"1,556"
10842659,Apamo Shem Mali,,,,,,,,1546,,,,,,,,,1546,,,,1,Played 1 Event,1546,"1,546"
10846840,Kiplangat Baraka,,,,,1545,,,,,,,,,,,,1545,,,,1,Played 1 Event,1545,"1,545"
,Wamwenje Abednego,,,1542,,,,,,,,,,,,,,1542,,,,1,Played 1 Event,1542,"1,542"
10823700,"Curtis, Reuben Thuo",,1532,,,,,,,,,,,,,,,1532,,,,1,Played 1 Event,1532,"1,532"
10841113,"Misiko, Peter Wangila",1525,,,,,,,,,,,,,,,,1525,,,,1,Played 1 Event,1525,"1,525"
10893920,"Ombee, Davis David",,1524,,,,,,,,,,,,,,,1524,,,,1,Played 1 Event,1524,"1,524"
10838899,"Magor, Marcarius Onyango",,,,1523,,,,,,,,,,,,,1523,,,,1,Played 1 Event,1523,"1,523"
10846590,"Rotich, Darrien Kigen",1517,,,,,,,,,,,,,,,,1517,,,,1,Played 1 Event,1517,"1,517"
,Okongo Tom,,1512,,,,,,,,,,,,,,,1512,,,,1,Played 1 Event,1512,"1,512"
10834702,"Aduma, Melivin",,1490,,,,,,,,,,,,,,,1490,,,,1,Played 1 Event,1490,"1,490"
10892559,Joseph Gathogo,1484,,,,,,,,,,,,,,,,1484,,,,1,Played 1 Event,1484,"1,484"
10841024,"Omunyin, Robinson",,1476,,,,,,,,,,,,,,,1476,,,,1,Played 1 Event,1476,"1,476"
,"Makanga, Alton Takwa",1427,,,,,,,,,,,,,,,,1427,,,,1,Played 1 Event,1427,"1,427"
10838422,"Silim, Hussein",1394,,,,,,,,,,,,,,,,1394,,,,1,Played 1 Event,1394,"1,394"
,Shar Danish Jeegar,,,1293,,,,,,,,,,,,,,1293,,,,1,Played 1 Event,1293,"1,293"
10802428,"Mwangi, Ranft",1277,,,,,,,,,,,,,,,,1277,,,,1,Played 1 Event,1277,"1,277"
,Victor Ochieng,,,,,,1716,,,,,,,,,,,1716,,,,1,Played 1 Event,,"1,716"
32503857,Abraham Makur Kosia Aluenge,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899278,"Adiel Matata,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10825665,"Adiel, Kipkorir",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10806350,Adrian Kariuki,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554004446,"Adrian, Kiprotich",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844511,"Akama, Job",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10895388,Alex Juma,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896813,"Alex, Amasakha",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10855599,Alpha Wanyoike,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898107,Amos Owino,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896821,"Amugune, Ephrahim",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10802444,"Amunga, Givans",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10801502,"Andiwoh, Moses",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10852956,Andy Zane Wright,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896830,"Angolo, Henry",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896848,"Angulinda, Stanley",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10833382,Anindo Andericus,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834958,Anthony Nandaa,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898883,"Anthony, Maingi Mathenge",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845194,"Apollo, Alier",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10894411,Arshavin Thuku,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10802762,"Atiagaga, Shem Vilembwa",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898123,Austin Tutu,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10861106,"Aviah, Mutua",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554005930,Benard Nguha Wakarindi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844813,"Bodalikar, Shivishwar",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10818677,Boera Felix,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10802711,Bolo Ronald,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896856,"Bongani, Rama Rao",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10853103,"Bowen, Ndegwa Waikwa",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898140,Bramuel Khaemba,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10818383,"Brian, Gabriel Mwangi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896864,"Brighton, Kibet",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10847812,"Calton, Gichuhi Kamau",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899014,"Carlson, Maragia",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10831517,Chazima Terence Shaka,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10886311,"Chesos, Caleb",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10803173,"Chiluba, Brian",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10822968,"Chiluka, Lingston",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896350,"Chiman, Garang Chiman",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897992,Chirchir Rovers Kiprono,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
